,Horse,current race,previous race
0,AETHERO(C336),551,231
1,AETHERO(C336),231,177
2,AETHERO(C336),177,095
3,AETHERO(C336),095,067
4,AETHERO(C336),067,776
5,AETHERO(C336),776,684
6,AETHERO(C336),684,574
7,AETHERO(C336),574,NA
0,AMAZING STAR(B019),508,451
1,AMAZING STAR(B019),451,379
2,AMAZING STAR(B019),379,263
3,AMAZING STAR(B019),263,182
4,AMAZING STAR(B019),182,532
5,AMAZING STAR(B019),532,465
6,AMAZING STAR(B019),465,413
7,AMAZING STAR(B019),413,758
8,AMAZING STAR(B019),758,628
9,AMAZING STAR(B019),628,326
10,AMAZING STAR(B019),326,276
11,AMAZING STAR(B019),276,163
12,AMAZING STAR(B019),163,091
13,AMAZING STAR(B019),091,NA
0,AMAZING BEATS(C507),516,442
1,AMAZING BEATS(C507),442,390
2,AMAZING BEATS(C507),390,312
3,AMAZING BEATS(C507),312,236
4,AMAZING BEATS(C507),236,NA
0,ASSIMILATE(C160),518,463
1,ASSIMILATE(C160),463,369
2,ASSIMILATE(C160),369,302
3,ASSIMILATE(C160),302,217
4,ASSIMILATE(C160),217,094
5,ASSIMILATE(C160),094,046
6,ASSIMILATE(C160),046,038
7,ASSIMILATE(C160),038,815
8,ASSIMILATE(C160),815,778
9,ASSIMILATE(C160),778,672
10,ASSIMILATE(C160),672,619
11,ASSIMILATE(C160),619,546
12,ASSIMILATE(C160),546,503
13,ASSIMILATE(C160),503,448
14,ASSIMILATE(C160),448,NA
0,ALL IN MIND(D200),573,517
1,ALL IN MIND(D200),517,482
2,ALL IN MIND(D200),482,439
3,ALL IN MIND(D200),439,371
4,ALL IN MIND(D200),371,306
5,ALL IN MIND(D200),306,NA
0,ALLIED AGILITY(C314),560,533
1,ALLIED AGILITY(C314),533,459
2,ALLIED AGILITY(C314),459,340
3,ALLIED AGILITY(C314),340,214
4,ALLIED AGILITY(C314),214,164
5,ALLIED AGILITY(C314),164,088
6,ALLIED AGILITY(C314),088,025
7,ALLIED AGILITY(C314),025,006
8,ALLIED AGILITY(C314),006,704
9,ALLIED AGILITY(C314),704,632
10,ALLIED AGILITY(C314),632,NA
0,AQUILA(C248),507,404
1,AQUILA(C248),404,310
2,AQUILA(C248),310,196
3,AQUILA(C248),196,130
4,AQUILA(C248),130,054
5,AQUILA(C248),054,798
6,AQUILA(C248),798,742
7,AQUILA(C248),742,576
8,AQUILA(C248),576,NA
0,AWE(D168),460,414
1,AWE(D168),414,368
2,AWE(D168),368,331
3,AWE(D168),331,NA
0,ALCARI(A354),506,461
1,ALCARI(A354),461,255
2,ALCARI(A354),255,232
3,ALCARI(A354),232,169
4,ALCARI(A354),169,096
5,ALCARI(A354),096,066
6,ALCARI(A354),066,019
7,ALCARI(A354),019,747
8,ALCARI(A354),747,627
9,ALCARI(A354),627,581
10,ALCARI(A354),581,544
11,ALCARI(A354),544,496
12,ALCARI(A354),496,476
13,ALCARI(A354),476,433
14,ALCARI(A354),433,374
15,ALCARI(A354),374,306
16,ALCARI(A354),306,153
17,ALCARI(A354),153,054
18,ALCARI(A354),054,806
19,ALCARI(A354),806,720
20,ALCARI(A354),720,628
21,ALCARI(A354),628,572
22,ALCARI(A354),572,534
23,ALCARI(A354),534,481
24,ALCARI(A354),481,390
25,ALCARI(A354),390,292
26,ALCARI(A354),292,244
27,ALCARI(A354),244,163
28,ALCARI(A354),163,091
29,ALCARI(A354),091,NA
0,AURORA PEGASUS(C351),378,322
1,AURORA PEGASUS(C351),322,188
2,AURORA PEGASUS(C351),188,137
3,AURORA PEGASUS(C351),137,081
4,AURORA PEGASUS(C351),081,014
5,AURORA PEGASUS(C351),014,798
6,AURORA PEGASUS(C351),798,761
7,AURORA PEGASUS(C351),761,NA
0,ACCLAIMED LIGHT(T369),543,490
1,ACCLAIMED LIGHT(T369),490,450
2,ACCLAIMED LIGHT(T369),450,412
3,ACCLAIMED LIGHT(T369),412,376
4,ACCLAIMED LIGHT(T369),376,318
5,ACCLAIMED LIGHT(T369),318,262
6,ACCLAIMED LIGHT(T369),262,206
7,ACCLAIMED LIGHT(T369),206,157
8,ACCLAIMED LIGHT(T369),157,104
9,ACCLAIMED LIGHT(T369),104,766
10,ACCLAIMED LIGHT(T369),766,680
11,ACCLAIMED LIGHT(T369),680,624
12,ACCLAIMED LIGHT(T369),624,568
13,ACCLAIMED LIGHT(T369),568,493
14,ACCLAIMED LIGHT(T369),493,418
15,ACCLAIMED LIGHT(T369),418,347
16,ACCLAIMED LIGHT(T369),347,289
17,ACCLAIMED LIGHT(T369),289,238
18,ACCLAIMED LIGHT(T369),238,197
19,ACCLAIMED LIGHT(T369),197,143
20,ACCLAIMED LIGHT(T369),143,740
21,ACCLAIMED LIGHT(T369),740,682
22,ACCLAIMED LIGHT(T369),682,637
23,ACCLAIMED LIGHT(T369),637,584
24,ACCLAIMED LIGHT(T369),584,537
25,ACCLAIMED LIGHT(T369),537,444
26,ACCLAIMED LIGHT(T369),444,395
27,ACCLAIMED LIGHT(T369),395,316
28,ACCLAIMED LIGHT(T369),316,234
29,ACCLAIMED LIGHT(T369),234,178
30,ACCLAIMED LIGHT(T369),178,106
31,ACCLAIMED LIGHT(T369),106,044
32,ACCLAIMED LIGHT(T369),044,NA
0,ANONYMA(C496),572,534
1,ANONYMA(C496),534,416
2,ANONYMA(C496),416,339
3,ANONYMA(C496),339,283
4,ANONYMA(C496),283,229
5,ANONYMA(C496),229,169
6,ANONYMA(C496),169,065
7,ANONYMA(C496),065,NA
0,AMAZING KIWI(D068),560,503
1,AMAZING KIWI(D068),503,489
2,AMAZING KIWI(D068),489,424
3,AMAZING KIWI(D068),424,349
4,AMAZING KIWI(D068),349,283
5,AMAZING KIWI(D068),283,226
6,AMAZING KIWI(D068),226,NA
0,AFRICAN SKY(C195),569,515
1,AFRICAN SKY(C195),515,482
2,AFRICAN SKY(C195),482,424
3,AFRICAN SKY(C195),424,360
4,AFRICAN SKY(C195),360,790
5,AFRICAN SKY(C195),790,712
6,AFRICAN SKY(C195),712,669
7,AFRICAN SKY(C195),669,NA
0,AMAZING CHOCOLATE(C059),500,456
1,AMAZING CHOCOLATE(C059),456,384
2,AMAZING CHOCOLATE(C059),384,073
3,AMAZING CHOCOLATE(C059),073,041
4,AMAZING CHOCOLATE(C059),041,005
5,AMAZING CHOCOLATE(C059),005,710
6,AMAZING CHOCOLATE(C059),710,657
7,AMAZING CHOCOLATE(C059),657,602
8,AMAZING CHOCOLATE(C059),602,537
9,AMAZING CHOCOLATE(C059),537,469
10,AMAZING CHOCOLATE(C059),469,427
11,AMAZING CHOCOLATE(C059),427,382
12,AMAZING CHOCOLATE(C059),382,311
13,AMAZING CHOCOLATE(C059),311,245
14,AMAZING CHOCOLATE(C059),245,215
15,AMAZING CHOCOLATE(C059),215,NA
0,ALPHA HEDGE(B102),504,460
1,ALPHA HEDGE(B102),460,422
2,ALPHA HEDGE(B102),422,568
3,ALPHA HEDGE(B102),568,492
4,ALPHA HEDGE(B102),492,418
5,ALPHA HEDGE(B102),418,362
6,ALPHA HEDGE(B102),362,317
7,ALPHA HEDGE(B102),317,278
8,ALPHA HEDGE(B102),278,181
9,ALPHA HEDGE(B102),181,080
10,ALPHA HEDGE(B102),080,039
11,ALPHA HEDGE(B102),039,001
12,ALPHA HEDGE(B102),001,761
13,ALPHA HEDGE(B102),761,690
14,ALPHA HEDGE(B102),690,640
15,ALPHA HEDGE(B102),640,615
16,ALPHA HEDGE(B102),615,NA
0,AMBITIOUS HEART(V303),432,263
1,AMBITIOUS HEART(V303),263,207
2,AMBITIOUS HEART(V303),207,111
3,AMBITIOUS HEART(V303),111,028
4,AMBITIOUS HEART(V303),028,813
5,AMBITIOUS HEART(V303),813,706
6,AMBITIOUS HEART(V303),706,631
7,AMBITIOUS HEART(V303),631,513
8,AMBITIOUS HEART(V303),513,459
9,AMBITIOUS HEART(V303),459,423
10,AMBITIOUS HEART(V303),423,345
11,AMBITIOUS HEART(V303),345,237
12,AMBITIOUS HEART(V303),237,178
13,AMBITIOUS HEART(V303),178,117
14,AMBITIOUS HEART(V303),117,032
15,AMBITIOUS HEART(V303),032,773
16,AMBITIOUS HEART(V303),773,678
17,AMBITIOUS HEART(V303),678,522
18,AMBITIOUS HEART(V303),522,471
19,AMBITIOUS HEART(V303),471,413
20,AMBITIOUS HEART(V303),413,338
21,AMBITIOUS HEART(V303),338,246
22,AMBITIOUS HEART(V303),246,166
23,AMBITIOUS HEART(V303),166,093
24,AMBITIOUS HEART(V303),093,021
25,AMBITIOUS HEART(V303),021,NA
0,AMAZING LUCK(B401),510,462
1,AMAZING LUCK(B401),462,406
2,AMAZING LUCK(B401),406,351
3,AMAZING LUCK(B401),351,303
4,AMAZING LUCK(B401),303,255
5,AMAZING LUCK(B401),255,187
6,AMAZING LUCK(B401),187,135
7,AMAZING LUCK(B401),135,086
8,AMAZING LUCK(B401),086,038
9,AMAZING LUCK(B401),038,749
10,AMAZING LUCK(B401),749,672
11,AMAZING LUCK(B401),672,602
12,AMAZING LUCK(B401),602,544
13,AMAZING LUCK(B401),544,487
14,AMAZING LUCK(B401),487,282
15,AMAZING LUCK(B401),282,226
16,AMAZING LUCK(B401),226,NA
0,ARES(D125),505,446
1,ARES(D125),446,257
2,ARES(D125),257,NA
0,ABOVE(B345),528,438
1,ABOVE(B345),438,342
2,ABOVE(B345),342,270
3,ABOVE(B345),270,202
4,ABOVE(B345),202,171
5,ABOVE(B345),171,125
6,ABOVE(B345),125,091
7,ABOVE(B345),091,807
8,ABOVE(B345),807,770
9,ABOVE(B345),770,734
10,ABOVE(B345),734,703
11,ABOVE(B345),703,648
12,ABOVE(B345),648,604
13,ABOVE(B345),604,571
14,ABOVE(B345),571,519
15,ABOVE(B345),519,479
16,ABOVE(B345),479,446
17,ABOVE(B345),446,388
18,ABOVE(B345),388,NA
0,ALL WONGCHOY(C278),523,446
1,ALL WONGCHOY(C278),446,227
2,ALL WONGCHOY(C278),227,119
3,ALL WONGCHOY(C278),119,083
4,ALL WONGCHOY(C278),083,511
5,ALL WONGCHOY(C278),511,NA
0,ALL YOU KNOW(A320),523,467
1,ALL YOU KNOW(A320),467,326
2,ALL YOU KNOW(A320),326,258
3,ALL YOU KNOW(A320),258,224
4,ALL YOU KNOW(A320),224,104
5,ALL YOU KNOW(A320),104,027
6,ALL YOU KNOW(A320),027,784
7,ALL YOU KNOW(A320),784,719
8,ALL YOU KNOW(A320),719,628
9,ALL YOU KNOW(A320),628,495
10,ALL YOU KNOW(A320),495,441
11,ALL YOU KNOW(A320),441,378
12,ALL YOU KNOW(A320),378,233
13,ALL YOU KNOW(A320),233,177
14,ALL YOU KNOW(A320),177,085
15,ALL YOU KNOW(A320),085,052
16,ALL YOU KNOW(A320),052,015
17,ALL YOU KNOW(A320),015,725
18,ALL YOU KNOW(A320),725,671
19,ALL YOU KNOW(A320),671,635
20,ALL YOU KNOW(A320),635,598
21,ALL YOU KNOW(A320),598,539
22,ALL YOU KNOW(A320),539,283
23,ALL YOU KNOW(A320),283,239
24,ALL YOU KNOW(A320),239,212
25,ALL YOU KNOW(A320),212,163
26,ALL YOU KNOW(A320),163,057
27,ALL YOU KNOW(A320),057,NA
0,AMAZING(A202),558,505
1,AMAZING(A202),505,409
2,AMAZING(A202),409,334
3,AMAZING(A202),334,250
4,AMAZING(A202),250,705
5,AMAZING(A202),705,652
6,AMAZING(A202),652,602
7,AMAZING(A202),602,529
8,AMAZING(A202),529,474
9,AMAZING(A202),474,404
10,AMAZING(A202),404,356
11,AMAZING(A202),356,320
12,AMAZING(A202),320,769
13,AMAZING(A202),769,703
14,AMAZING(A202),703,685
15,AMAZING(A202),685,639
16,AMAZING(A202),639,582
17,AMAZING(A202),582,534
18,AMAZING(A202),534,NA
0,ALLOY STAR(D053),548,476
1,ALLOY STAR(D053),476,381
2,ALLOY STAR(D053),381,NA
0,ARDENODE(B145),531,440
1,ARDENODE(B145),440,365
2,ARDENODE(B145),365,288
3,ARDENODE(B145),288,229
4,ARDENODE(B145),229,122
5,ARDENODE(B145),122,044
6,ARDENODE(B145),044,813
7,ARDENODE(B145),813,757
8,ARDENODE(B145),757,700
9,ARDENODE(B145),700,662
10,ARDENODE(B145),662,597
11,ARDENODE(B145),597,NA
0,ALL THE WAY(D027),399,NA
0,APEX TOP(D136),502,NA
0,ATHENA(D103),454,NA
0,AURORA STAR(D002),213,NA
0,AUTHENTIC CHAMP(C039),250,367
1,AUTHENTIC CHAMP(C039),367,NA
0,ALL BEST FRIENDS(A217),509,435
1,ALL BEST FRIENDS(A217),435,375
2,ALL BEST FRIENDS(A217),375,338
3,ALL BEST FRIENDS(A217),338,248
4,ALL BEST FRIENDS(A217),248,213
5,ALL BEST FRIENDS(A217),213,137
6,ALL BEST FRIENDS(A217),137,062
7,ALL BEST FRIENDS(A217),062,026
8,ALL BEST FRIENDS(A217),026,782
9,ALL BEST FRIENDS(A217),782,695
10,ALL BEST FRIENDS(A217),695,606
11,ALL BEST FRIENDS(A217),606,523
12,ALL BEST FRIENDS(A217),523,471
13,ALL BEST FRIENDS(A217),471,417
14,ALL BEST FRIENDS(A217),417,325
15,ALL BEST FRIENDS(A217),325,280
16,ALL BEST FRIENDS(A217),280,216
17,ALL BEST FRIENDS(A217),216,171
18,ALL BEST FRIENDS(A217),171,132
19,ALL BEST FRIENDS(A217),132,009
20,ALL BEST FRIENDS(A217),009,767
21,ALL BEST FRIENDS(A217),767,738
22,ALL BEST FRIENDS(A217),738,693
23,ALL BEST FRIENDS(A217),693,620
24,ALL BEST FRIENDS(A217),620,576
25,ALL BEST FRIENDS(A217),576,508
26,ALL BEST FRIENDS(A217),508,474
27,ALL BEST FRIENDS(A217),474,349
28,ALL BEST FRIENDS(A217),349,297
29,ALL BEST FRIENDS(A217),297,262
30,ALL BEST FRIENDS(A217),262,233
31,ALL BEST FRIENDS(A217),233,124
32,ALL BEST FRIENDS(A217),124,028
33,ALL BEST FRIENDS(A217),028,NA
0,ALL FOR ST PAUL'S(C517),541,494
1,ALL FOR ST PAUL'S(C517),494,429
2,ALL FOR ST PAUL'S(C517),429,363
3,ALL FOR ST PAUL'S(C517),363,NA
0,APOLAR WARRIOR(D073),208,160
1,APOLAR WARRIOR(D073),160,NA
0,AMAZING SATCHMO(A363),520,485
1,AMAZING SATCHMO(A363),485,419
2,AMAZING SATCHMO(A363),419,309
3,AMAZING SATCHMO(A363),309,251
4,AMAZING SATCHMO(A363),251,192
5,AMAZING SATCHMO(A363),192,117
6,AMAZING SATCHMO(A363),117,062
7,AMAZING SATCHMO(A363),062,027
8,AMAZING SATCHMO(A363),027,759
9,AMAZING SATCHMO(A363),759,730
10,AMAZING SATCHMO(A363),730,674
11,AMAZING SATCHMO(A363),674,628
12,AMAZING SATCHMO(A363),628,592
13,AMAZING SATCHMO(A363),592,514
14,AMAZING SATCHMO(A363),514,404
15,AMAZING SATCHMO(A363),404,310
16,AMAZING SATCHMO(A363),310,238
17,AMAZING SATCHMO(A363),238,207
18,AMAZING SATCHMO(A363),207,107
19,AMAZING SATCHMO(A363),107,051
20,AMAZING SATCHMO(A363),051,747
21,AMAZING SATCHMO(A363),747,699
22,AMAZING SATCHMO(A363),699,643
23,AMAZING SATCHMO(A363),643,590
24,AMAZING SATCHMO(A363),590,543
25,AMAZING SATCHMO(A363),543,487
26,AMAZING SATCHMO(A363),487,428
27,AMAZING SATCHMO(A363),428,396
28,AMAZING SATCHMO(A363),396,341
29,AMAZING SATCHMO(A363),341,292
30,AMAZING SATCHMO(A363),292,237
31,AMAZING SATCHMO(A363),237,163
32,AMAZING SATCHMO(A363),163,091
33,AMAZING SATCHMO(A363),091,NA
0,AFTER ME(B300),569,502
1,AFTER ME(B300),502,466
2,AFTER ME(B300),466,429
3,AFTER ME(B300),429,357
4,AFTER ME(B300),357,334
5,AFTER ME(B300),334,241
6,AFTER ME(B300),241,220
7,AFTER ME(B300),220,116
8,AFTER ME(B300),116,050
9,AFTER ME(B300),050,022
10,AFTER ME(B300),022,532
11,AFTER ME(B300),532,454
12,AFTER ME(B300),454,278
13,AFTER ME(B300),278,204
14,AFTER ME(B300),204,148
15,AFTER ME(B300),148,077
16,AFTER ME(B300),077,027
17,AFTER ME(B300),027,753
18,AFTER ME(B300),753,684
19,AFTER ME(B300),684,652
20,AFTER ME(B300),652,600
21,AFTER ME(B300),600,562
22,AFTER ME(B300),562,NA
0,ADONIS(A324),523,468
1,ADONIS(A324),468,384
2,ADONIS(A324),384,328
3,ADONIS(A324),328,250
4,ADONIS(A324),250,190
5,ADONIS(A324),190,141
6,ADONIS(A324),141,050
7,ADONIS(A324),050,002
8,ADONIS(A324),002,808
9,ADONIS(A324),808,751
10,ADONIS(A324),751,723
11,ADONIS(A324),723,666
12,ADONIS(A324),666,642
13,ADONIS(A324),642,575
14,ADONIS(A324),575,520
15,ADONIS(A324),520,461
16,ADONIS(A324),461,369
17,ADONIS(A324),369,302
18,ADONIS(A324),302,093
19,ADONIS(A324),093,735
20,ADONIS(A324),735,654
21,ADONIS(A324),654,596
22,ADONIS(A324),596,539
23,ADONIS(A324),539,452
24,ADONIS(A324),452,359
25,ADONIS(A324),359,310
26,ADONIS(A324),310,277
27,ADONIS(A324),277,218
28,ADONIS(A324),218,NA
0,ALL TIMES GRATEFUL(C438),557,486
1,ALL TIMES GRATEFUL(C438),486,418
2,ALL TIMES GRATEFUL(C438),418,353
3,ALL TIMES GRATEFUL(C438),353,239
4,ALL TIMES GRATEFUL(C438),239,129
5,ALL TIMES GRATEFUL(C438),129,006
6,ALL TIMES GRATEFUL(C438),006,NA
0,AIOLOS(C040),540,399
1,AIOLOS(C040),399,239
2,AIOLOS(C040),239,191
3,AIOLOS(C040),191,761
4,AIOLOS(C040),761,658
5,AIOLOS(C040),658,586
6,AIOLOS(C040),586,491
7,AIOLOS(C040),491,NA
0,APOLLOS BOW(C384),511,266
1,APOLLOS BOW(C384),266,213
2,APOLLOS BOW(C384),213,151
3,APOLLOS BOW(C384),151,040
4,APOLLOS BOW(C384),040,810
5,APOLLOS BOW(C384),810,NA
0,ABSOLUCOOL(A328),537,257
1,ABSOLUCOOL(A328),257,194
2,ABSOLUCOOL(A328),194,436
3,ABSOLUCOOL(A328),436,334
4,ABSOLUCOOL(A328),334,260
5,ABSOLUCOOL(A328),260,148
6,ABSOLUCOOL(A328),148,113
7,ABSOLUCOOL(A328),113,763
8,ABSOLUCOOL(A328),763,663
9,ABSOLUCOOL(A328),663,NA
0,AMAZING AGILITY(V192),565,455
1,AMAZING AGILITY(V192),455,400
2,AMAZING AGILITY(V192),400,295
3,AMAZING AGILITY(V192),295,202
4,AMAZING AGILITY(V192),202,171
5,AMAZING AGILITY(V192),171,069
6,AMAZING AGILITY(V192),069,052
7,AMAZING AGILITY(V192),052,029
8,AMAZING AGILITY(V192),029,012
9,AMAZING AGILITY(V192),012,812
10,AMAZING AGILITY(V192),812,752
11,AMAZING AGILITY(V192),752,670
12,AMAZING AGILITY(V192),670,637
13,AMAZING AGILITY(V192),637,424
14,AMAZING AGILITY(V192),424,366
15,AMAZING AGILITY(V192),366,319
16,AMAZING AGILITY(V192),319,274
17,AMAZING AGILITY(V192),274,238
18,AMAZING AGILITY(V192),238,202
19,AMAZING AGILITY(V192),202,762
20,AMAZING AGILITY(V192),762,700
21,AMAZING AGILITY(V192),700,605
22,AMAZING AGILITY(V192),605,505
23,AMAZING AGILITY(V192),505,457
24,AMAZING AGILITY(V192),457,382
25,AMAZING AGILITY(V192),382,340
26,AMAZING AGILITY(V192),340,254
27,AMAZING AGILITY(V192),254,202
28,AMAZING AGILITY(V192),202,170
29,AMAZING AGILITY(V192),170,096
30,AMAZING AGILITY(V192),096,026
31,AMAZING AGILITY(V192),026,NA
0,AURORA STEED(C023),537,464
1,AURORA STEED(C023),464,448
2,AURORA STEED(C023),448,394
3,AURORA STEED(C023),394,354
4,AURORA STEED(C023),354,280
5,AURORA STEED(C023),280,246
6,AURORA STEED(C023),246,191
7,AURORA STEED(C023),191,704
8,AURORA STEED(C023),704,NA
0,ASSOCIATION FANS(V207),501,445
1,ASSOCIATION FANS(V207),445,373
2,ASSOCIATION FANS(V207),373,285
3,ASSOCIATION FANS(V207),285,256
4,ASSOCIATION FANS(V207),256,180
5,ASSOCIATION FANS(V207),180,152
6,ASSOCIATION FANS(V207),152,097
7,ASSOCIATION FANS(V207),097,070
8,ASSOCIATION FANS(V207),070,050
9,ASSOCIATION FANS(V207),050,013
10,ASSOCIATION FANS(V207),013,770
11,ASSOCIATION FANS(V207),770,699
12,ASSOCIATION FANS(V207),699,640
13,ASSOCIATION FANS(V207),640,588
14,ASSOCIATION FANS(V207),588,552
15,ASSOCIATION FANS(V207),552,510
16,ASSOCIATION FANS(V207),510,493
17,ASSOCIATION FANS(V207),493,456
18,ASSOCIATION FANS(V207),456,283
19,ASSOCIATION FANS(V207),283,196
20,ASSOCIATION FANS(V207),196,130
21,ASSOCIATION FANS(V207),130,015
22,ASSOCIATION FANS(V207),015,799
23,ASSOCIATION FANS(V207),799,774
24,ASSOCIATION FANS(V207),774,755
25,ASSOCIATION FANS(V207),755,705
26,ASSOCIATION FANS(V207),705,635
27,ASSOCIATION FANS(V207),635,545
28,ASSOCIATION FANS(V207),545,517
29,ASSOCIATION FANS(V207),517,480
30,ASSOCIATION FANS(V207),480,421
31,ASSOCIATION FANS(V207),421,396
32,ASSOCIATION FANS(V207),396,167
33,ASSOCIATION FANS(V207),167,128
34,ASSOCIATION FANS(V207),128,113
35,ASSOCIATION FANS(V207),113,006
36,ASSOCIATION FANS(V207),006,NA
0,AEROFLASH(C310),565,472
1,AEROFLASH(C310),472,352
2,AEROFLASH(C310),352,309
3,AEROFLASH(C310),309,223
4,AEROFLASH(C310),223,167
5,AEROFLASH(C310),167,110
6,AEROFLASH(C310),110,811
7,AEROFLASH(C310),811,744
8,AEROFLASH(C310),744,NA
0,ART OF RAW(V368),501,483
1,ART OF RAW(V368),483,400
2,ART OF RAW(V368),400,352
3,ART OF RAW(V368),352,307
4,ART OF RAW(V368),307,267
5,ART OF RAW(V368),267,218
6,ART OF RAW(V368),218,734
7,ART OF RAW(V368),734,640
8,ART OF RAW(V368),640,530
9,ART OF RAW(V368),530,389
10,ART OF RAW(V368),389,335
11,ART OF RAW(V368),335,291
12,ART OF RAW(V368),291,213
13,ART OF RAW(V368),213,142
14,ART OF RAW(V368),142,074
15,ART OF RAW(V368),074,658
16,ART OF RAW(V368),658,579
17,ART OF RAW(V368),579,543
18,ART OF RAW(V368),543,495
19,ART OF RAW(V368),495,423
20,ART OF RAW(V368),423,350
21,ART OF RAW(V368),350,291
22,ART OF RAW(V368),291,226
23,ART OF RAW(V368),226,143
24,ART OF RAW(V368),143,071
25,ART OF RAW(V368),071,034
26,ART OF RAW(V368),034,NA
0,BEAUTY GENERATION(V380),547,423
1,BEAUTY GENERATION(V380),423,346
2,BEAUTY GENERATION(V380),346,233
3,BEAUTY GENERATION(V380),233,175
4,BEAUTY GENERATION(V380),175,112
5,BEAUTY GENERATION(V380),112,064
6,BEAUTY GENERATION(V380),064,617
7,BEAUTY GENERATION(V380),617,562
8,BEAUTY GENERATION(V380),562,429
9,BEAUTY GENERATION(V380),429,354
10,BEAUTY GENERATION(V380),354,242
11,BEAUTY GENERATION(V380),242,186
12,BEAUTY GENERATION(V380),186,116
13,BEAUTY GENERATION(V380),116,062
14,BEAUTY GENERATION(V380),062,608
15,BEAUTY GENERATION(V380),608,555
16,BEAUTY GENERATION(V380),555,455
17,BEAUTY GENERATION(V380),455,380
18,BEAUTY GENERATION(V380),380,260
19,BEAUTY GENERATION(V380),260,206
20,BEAUTY GENERATION(V380),206,134
21,BEAUTY GENERATION(V380),134,080
22,BEAUTY GENERATION(V380),080,NA
0,BEAT THE CLOCK(V397),423,348
1,BEAT THE CLOCK(V397),348,231
2,BEAT THE CLOCK(V397),231,177
3,BEAT THE CLOCK(V397),177,616
4,BEAT THE CLOCK(V397),616,558
5,BEAT THE CLOCK(V397),558,429
6,BEAT THE CLOCK(V397),429,352
7,BEAT THE CLOCK(V397),352,240
8,BEAT THE CLOCK(V397),240,188
9,BEAT THE CLOCK(V397),188,609
10,BEAT THE CLOCK(V397),609,554
11,BEAT THE CLOCK(V397),554,455
12,BEAT THE CLOCK(V397),455,379
13,BEAT THE CLOCK(V397),379,317
14,BEAT THE CLOCK(V397),317,208
15,BEAT THE CLOCK(V397),208,NA
0,BIG TIME BABY(A157),434,290
1,BIG TIME BABY(A157),290,215
2,BIG TIME BABY(A157),215,178
3,BIG TIME BABY(A157),178,095
4,BIG TIME BABY(A157),095,018
5,BIG TIME BABY(A157),018,775
6,BIG TIME BABY(A157),775,738
7,BIG TIME BABY(A157),738,689
8,BIG TIME BABY(A157),689,599
9,BIG TIME BABY(A157),599,536
10,BIG TIME BABY(A157),536,448
11,BIG TIME BABY(A157),448,383
12,BIG TIME BABY(A157),383,338
13,BIG TIME BABY(A157),338,271
14,BIG TIME BABY(A157),271,225
15,BIG TIME BABY(A157),225,144
16,BIG TIME BABY(A157),144,099
17,BIG TIME BABY(A157),099,464
18,BIG TIME BABY(A157),464,371
19,BIG TIME BABY(A157),371,295
20,BIG TIME BABY(A157),295,219
21,BIG TIME BABY(A157),219,160
22,BIG TIME BABY(A157),160,108
23,BIG TIME BABY(A157),108,045
24,BIG TIME BABY(A157),045,NA
0,BIG PARTY(B461),551,475
1,BIG PARTY(B461),475,290
2,BIG PARTY(B461),290,264
3,BIG PARTY(B461),264,178
4,BIG PARTY(B461),178,775
5,BIG PARTY(B461),775,669
6,BIG PARTY(B461),669,582
7,BIG PARTY(B461),582,402
8,BIG PARTY(B461),402,306
9,BIG PARTY(B461),306,223
10,BIG PARTY(B461),223,091
11,BIG PARTY(B461),091,NA
0,BEAUTY LEGACY(D023),573,480
1,BEAUTY LEGACY(D023),480,441
2,BEAUTY LEGACY(D023),441,368
3,BEAUTY LEGACY(D023),368,313
4,BEAUTY LEGACY(D023),313,NA
0,BUTTERFIELD(C462),549,516
1,BUTTERFIELD(C462),516,390
2,BUTTERFIELD(C462),390,332
3,BUTTERFIELD(C462),332,282
4,BUTTERFIELD(C462),282,178
5,BUTTERFIELD(C462),178,008
6,BUTTERFIELD(C462),008,NA
0,BIGWOOD(B100),719,364
1,BIGWOOD(B100),364,238
2,BIGWOOD(B100),238,179
3,BIGWOOD(B100),179,114
4,BIGWOOD(B100),114,060
5,BIGWOOD(B100),060,805
6,BIGWOOD(B100),805,493
7,BIGWOOD(B100),493,315
8,BIGWOOD(B100),315,276
9,BIGWOOD(B100),276,NA
0,BUDDIES(C019),544,518
1,BUDDIES(C019),518,368
2,BUDDIES(C019),368,292
3,BUDDIES(C019),292,127
4,BUDDIES(C019),127,036
5,BUDDIES(C019),036,816
6,BUDDIES(C019),816,774
7,BUDDIES(C019),774,739
8,BUDDIES(C019),739,705
9,BUDDIES(C019),705,640
10,BUDDIES(C019),640,595
11,BUDDIES(C019),595,543
12,BUDDIES(C019),543,497
13,BUDDIES(C019),497,NA
0,BEAUTY APPLAUSE(C228),407,350
1,BEAUTY APPLAUSE(C228),350,271
2,BEAUTY APPLAUSE(C228),271,229
3,BEAUTY APPLAUSE(C228),229,144
4,BEAUTY APPLAUSE(C228),144,778
5,BEAUTY APPLAUSE(C228),778,744
6,BEAUTY APPLAUSE(C228),744,708
7,BEAUTY APPLAUSE(C228),708,653
8,BEAUTY APPLAUSE(C228),653,464
9,BEAUTY APPLAUSE(C228),464,NA
0,BEAUTY RUSH(C475),535,452
1,BEAUTY RUSH(C475),452,422
2,BEAUTY RUSH(C475),422,369
3,BEAUTY RUSH(C475),369,313
4,BEAUTY RUSH(C475),313,253
5,BEAUTY RUSH(C475),253,198
